target,count0,count1,count2,count3,residual0,residual1,residual2,residual3,p_value
0,All,2027976,135103,167763,6876,-6.723374511676258,16.32209119641461,16.107392574996116,-39.1133077367486,0.0
1,Y02,88147,5034,65592,1813,-17.532598715251996,17.53259871525194,26.170569065920287,-26.170569065920382,5.7495686389151234e-151
2,Y02A,14320,1145,5571,242,-4.997984170959036,4.997984170959024,8.467484918834023,-8.467484918833952,2.5074837754661816e-17
3,Y02B,12101,508,11551,203,-7.114457497188051,7.1144574971880505,10.216026107444312,-10.216026107444458,1.680911635426328e-24
4,Y02D,17763,1226,5554,244,-3.570927334866794,3.5709273348667274,6.333490458465549,-6.333490458465545,2.396761359593462e-10
5,Y02E,24452,337,24805,263,-2.4808833226377014,2.4808833226380433,3.252558751353454,-3.2525587513533014,0.0011437094926371174
6,Y02P,14688,1219,12710,575,-8.107832215231838,8.107832215231808,12.657515097446401,-12.657515097446344,1.0166668460013882e-36
7,Y02T,15258,1395,19262,702,-12.898978500903558,12.89897850090355,19.92148773780086,-19.921487737800835,2.64999296916422e-88
