code,Estimate,Std.Error,t.value,pr.gt,stars
Y02A,0.376243,0.079702,4.721,2.37e-06,***
Y02B,0.602131,0.093520,6.439,1.23e-10,***
Y02D,0.586085,0.069853,8.390,2e-16,***
Y02E,0.393727,0.078316,5.027,4.98e-07,***
Y02P,0.522075,0.081925,6.373,1.88e-10,***
Y02T,0.480945,0.058695,8.194,2.60e-16,***
